,Video_Title,View_Count,Like_Count,Comment_Count
240,How to Install Tableau and Create First Visualization | Tableau Tutorials for Beginners,836591,18687,433
241,How NOT to Become a Data Analyst (Funny?),17458,709,114
242,100k Subscriber Play Button Unboxing,2679,238,96
243,Amazon Web Scraping Using Python | Data Analyst Portfolio Project,301504,6676,691
244,Interviewing with PwC for a Senior Data Analyst Position,98630,2612,157
245,100k Livestream | Announcing Giveaway Winners | Trimming Mustache | Answering Questions,4747,191,26
246,I Am No Longer a Data Analyst | Turning Down PwC | New Job,143302,4396,481
247,When To Start Applying To Your First Data Analyst Job,91290,4755,243
248,Why You Need to Stop Taking Courses (From an Ex-Course Addict),130890,5630,362
249,How to Create a Portfolio Website for FREE,709533,15687,814
250,Data Analyst Portfolio Project | Correlation in Python | Project 4/4,193931,3351,519
251,How To Get a Data Analyst Job (with No Experience),484978,20814,606
252,My Wife Answers Subscribers Questions About Me | Alex The Analyst Show | Episode 19,6411,244,108
253,Favorite Tableau and Power BI Courses on Udemy,33746,879,86
254,Data Analyst Portfolio Project | Data Cleaning in SQL | Project 3/4,445150,8330,880
255,Data Analyst Portfolio Project | Tableau Visualization | Project 2/4,402222,6283,467
256,Asking My Family What I Do For a Living,3771,195,55
257,Data Analyst Portfolio Project | SQL Data Exploration | Project 1/4,2112285,36219,4327
258,Advanced SQL Tutorial | Subqueries,420062,9017,240
259,Data Analyst Q/A #6 | Why Am I Not a Data Scientist?,22367,818,147
260,Google vs IBM Data Analytics Certificates | Which is Better?,359995,12266,622
261,Data Analyst Reacts: How to Go From Data Analyst to Data Scientist,28085,958,85
262,Laptops for Data Analysts |  Specifications + Recommendations,199428,4236,329
263,Best Machine Learning Courses on Coursera,62427,1842,83
264,Will Data Analysts Be Automated? | Alex The Analyst | Episode 18,16437,481,117
265,Advanced SQL Tutorial | Stored Procedures + Use Cases,475662,8196,201
266,Google Data Analytics Professional Certificate | It's Finally Here!,369435,11205,1168
267,Google Data Analytics Certificate | Coming Out Soon!,51787,2358,315
268,Reviewing Your Data Analyst Resumes | Part 2,24725,587,77
269,Best Course to Learn Statistics for Data Analysis,123877,3030,92
270,DataQuest Review | Is it Worth it?,25349,430,45
271,R vs Python | Which is Better for Data Analysis?,236269,5210,409
272,Advanced SQL Tutorial | String Functions + Use Cases,186708,4587,156
273,Advanced SQL Tutorial | Temp Tables,268401,5819,145
274,IBM Data Analyst Certificate Study Session,5285,173,22
275,IBM Data Analyst Professional Certificate by Coursera | Is it Worth it?,133171,3273,307
276,DataCamp Review | Is it Worth it?,200564,4122,270
277,Best Python Course for Data Analysts,55725,1379,119
278,Top 5 Data Analyst Skills,34598,1398,172
279,Best Industries for Data Analysts in 2021 | Alex The Analyst Show | Episode 17,15400,496,146
280,Top 5 Data Analyst Interview Mistakes,102581,2519,74
281,2020 Year End Review + Upcoming Giveaway Details,1582,140,101
282,Data Analyst Resume | Everything You Need to Know | Alex The Analyst Show | Episode 16,42117,1205,137
283,Solving Medium Level SQL LeetCode Questions | Part 2/3,11831,247,32
284,Entry vs Mid vs Senior Level Data Analyst | Alex The Analyst Show | Episode 15,47282,1554,211
285,Data Engineer vs Data Analyst | Which Is Right For You?,86604,2820,147
286,How to Find Out Your Coworkers Salary | Alex The Analyst Show | Episode 14,3063,96,54
287,Advanced SQL Tutorial | CTE (Common Table Expression),382525,6036,192
288,"Data Analyst Salary (Expectations, Bonuses, 401K, ESPP) | Alex The Analyst Show | Episode 13",23230,739,189
289,Intermediate SQL Tutorial | Partition By,300822,6798,205
290,Data Analyst Q/A LIVE #5 | AMA,4893,131,18
291,Completely REALISTIC Jobs on LinkedIn | Alex The Analyst Show | Episode 12,24816,884,162
292,Completely Unrealistic Jobs on LinkedIn | Alex The Analyst Show | Episode 11,14625,571,207
293,Top 3 Tips on Using LinkedIn to Land a Job,332853,11858,247
294,What is No Code Analytics? | Alex The Analyst Show | Episode 10,3905,122,81
295,Solving LeetCode SQL Interview Questions | Part 1/3,26860,681,66
296,What is Analytics Consulting? With John Ariansen | Alex The Analyst Show | Episode 9,13770,393,118
297,Data Analyst Skills Path | What Skills You NEED to Know,77746,3604,271
298,Data Analyst Q&A LIVE #4,3542,104,25
299,Asking My Wife Your Questions About Me | Alex The Analyst Show | Episode 8,14425,564,223
300,Top 10 Udemy Courses for Data Analysts,189286,5115,304
301,Data Analyst Certifications | Are They Worth It? | Alex The Analyst Show | Episode 7,179794,6199,984
302,Working at a Startup vs Fortune 500 Company | Alex The Analyst Show | Episode 6,4817,178,74
303,Top 10 Coursera Courses for Data Analysts,113408,4864,287
304,Imposter Syndrome in Tech | Alex The Analyst Show | Episode 5,7546,374,176
