,Video_Title,View_Count,Like_Count,Comment_Count
285,How to Find Out Your Coworkers Salary | Alex The Analyst Show | Episode 14,3060,96,54
286,Advanced SQL Tutorial | CTE (Common Table Expression),381668,6026,192
287,"Data Analyst Salary (Expectations, Bonuses, 401K, ESPP) | Alex The Analyst Show | Episode 13",23226,739,189
288,Intermediate SQL Tutorial | Partition By,300318,6792,205
289,Data Analyst Q/A LIVE #5 | AMA,4893,131,18
290,Completely REALISTIC Jobs on LinkedIn | Alex The Analyst Show | Episode 12,24812,884,162
291,Completely Unrealistic Jobs on LinkedIn | Alex The Analyst Show | Episode 11,14621,571,207
292,Top 3 Tips on Using LinkedIn to Land a Job,332224,11838,248
293,What is No Code Analytics? | Alex The Analyst Show | Episode 10,3905,122,81
294,Solving LeetCode SQL Interview Questions | Part 1/3,26817,681,66
295,What is Analytics Consulting? With John Ariansen | Alex The Analyst Show | Episode 9,13761,394,118
296,Data Analyst Skills Path | What Skills You NEED to Know,77737,3606,271
297,Data Analyst Q&A LIVE #4,3538,104,25
298,Asking My Wife Your Questions About Me | Alex The Analyst Show | Episode 8,14419,564,223
299,Top 10 Udemy Courses for Data Analysts,188925,5107,304
300,Data Analyst Certifications | Are They Worth It? | Alex The Analyst Show | Episode 7,179775,6200,985
301,Working at a Startup vs Fortune 500 Company | Alex The Analyst Show | Episode 6,4811,178,74
302,Top 10 Coursera Courses for Data Analysts,113292,4859,287
303,Imposter Syndrome in Tech | Alex The Analyst Show | Episode 5,7542,374,176
304,Data Analyst Expectations vs Reality,75915,2796,187
305,Covid and the Data Analyst Job Market | Alex The Analyst Show | Episode 4,7347,254,161
306,Self Taught vs Boot Camp vs Degree | Alex The Analyst Show | Episode 3,45715,1525,719
307,Top 5 Reasons You'll Be a Good Data Analyst,14824,618,82
308,How I Changed Careers to Become a Data Analyst | Alex The Analyst Show | Episode 2,417710,12166,3823
309,Top 5 Reasons Data Analytics is a Good Career Choice,44615,1312,73
310,The Hiring Process from an Interviewer's Perspective | Alex The Analyst Show | Episode 1,21989,706,84
311,Top 5 Reasons Not to Lie on Your Resume,12402,210,120
312,Live Data Analyst Q&A #3,3067,100,43
313,Data Analyst Career Path | How to Become a Data Analyst + What to Do Next,131396,4657,271
314,Top 5 Reasons Not to Become a Data Analyst,926360,19757,1050
315,Data Analyst Bootcamps | Are They Worth It?,35104,582,93
316,What Does a Data Analyst Actually Do?,1015222,19640,501
317,Data Analyst Question and Answer | Answering Your YouTube Questions,4859,178,67
318,Scraping Data Off Twitter Using Python | Twitterscraper + NLP + Data Visualization,55265,1390,158
319,Data Analyst vs Business Analyst | Which Is Right For You?,781933,19705,588
320,Best Free Online Courses for Data Analysts,57906,2760,95
321,Best Online Courses for Data Analysts,186968,9531,424
322,Data Scientist vs Data Analyst | Which Is Right For You?,793818,24385,861
323,Intermediate SQL Tutorial | Aliasing,153939,4073,104
324,Data Analyst Q&A LIVE,11714,269,54
325,Data Analyst Interviews | Salary Negotiation,27436,859,27
326,Data Analyst Interview Questions | What To Say vs What NOT To Say,77900,1869,36
327,SQL Interview Questions and Answers for Beginners | Data Analyst Interview Questions,133658,3426,112
328,Data Analyst Interview Questions | Phone + In-Person Interview Questions,85168,1685,62
329,Day in the Life of a Data Analyst | Fortune 500 Edition (During Quarantine),15391,522,52
330,Intermediate SQL Tutorial | Updating/Deleting Data,157614,3505,143
331,Intermediate SQL Tutorial | Having Clause,189877,4844,92
332,Intermediate SQL Tutorial | Case Statement | Use Cases,309630,7457,439
333,Intermediate SQL Tutorial | Unions | Union Operator,270656,5193,116
334,Intermediate SQL Tutorial | Inner/Outer Joins | Use Cases,558139,9318,478
335,Day in the Life of a Data Analyst | Fortune 500 Edition,126456,2588,262
336,SQL Basics Tutorial For Beginners | Group By + Order By Statements | 4/4,339154,8300,236
337,SQL Basics Tutorial For Beginners | Where Statement | 3/4,357442,6187,156
338,SQL Basics Tutorial For Beginners | Select + From Statements | 2/4,521354,7477,306
339,SQL Basics Tutorial For Beginners | Installing SQL Server Management Studio and Create Tables | 1/4,1458326,18577,2057
340,Data Analyst Fact Check |  84k Average Starting Salary?? | The Career Force 2020 Data Analyst Salary,26014,853,162
341,Data Analyst Resume | Reviewing YOUR Data Analyst Resumes!,26736,552,40
342,Data Analyst Salary in 2020,8263,157,26
343,Working With a Recruiter to Land Your First Job as a Data Analyst | LinkedIn Recruiters,14997,635,39
344,Switching Careers to Become a Data Analyst | How I Made the Switch,50342,1811,251
345,Data Analyst Resume | Complete Guide To Creating A Data Analyst Resume | Tips + Templates + Examples,125245,3584,104
346,Data Analyst Resume | Reviewing My Resume! | Fortune 500 Data Analyst,79604,1737,63
347,Working at a Big Company Vs Small Company | Told by a Fortune 500 Data Analyst,15791,420,23
348,Data Analyst Salary | 100k with No Experience,66125,2238,229
349,Truth About Big Companies | Told by a Fortune 500 Data Analyst,9600,342,20
350,Top 3 Data Analyst Skills in 2020,30574,1453,142
