video_id,title,published_at,views,likes,comments,tags,duration_seconds
gP-AxNi6uxo,How to use Power Query in Power BI | Microsoft Power BI for Beginners,2022-06-14T10:30:08Z,468692,7119,117,"['Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'power bi tutorial', 'tutorial for power bi', 'power bi', 'power bi tutorial for beginners', 'beginner power bi', 'power bi beginner', 'power bi beginner tutorial', 'what is power bi', 'power bi beginner to expert', 'power query', 'power query editor', 'power query editor in power bi', 'power query editor in power bi deskptop', 'how to use power query', 'how to use power query editor in power bi']",787
KB2CtEDrglY,Automating Crypto Website API Pull Using Python | Data Analyst Project,2022-06-07T10:30:10Z,80948,1328,123,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'crypto project', 'pulling data from an api', 'how to use an api', 'using api to pull data', 'crypto', 'data analyst project', 'data analyst automation', 'python automation', 'automating data pull in python', 'python automation job', 'python automation crypto']",3074
2HfSFdPEFRg,How to use a Public API | Using a Public API with Python,2022-05-31T10:30:01Z,57977,1772,90,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'how to use an api', 'using an api', 'public api', 'how to use a public api']",841
g0m5sEHPU-s,How to Install Power BI | Building First Visualization | Microsoft Power BI for Beginners,2022-05-24T10:30:06Z,710549,11644,310,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'power bi tutorial', 'tutorial for power bi', 'power bi', 'power bi tutorial for beginners', 'beginner power bi', 'power bi beginner', 'power bi beginner tutorial', 'what is power bi', 'power bi beginner to expert']",770
Q7i6zxHVj2Q,MySQL vs Postgresql vs Microsoft SQL Server Management Tools | Which Option is Best?,2022-05-17T10:30:06Z,158794,3248,284,"['Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'mysql', 'postresql', 'sql server', 'Microsoft sql server', 'difference between mysql and postgresql', 'mysql vs postgresql', 'mysql vs postgresql vs sql server', 'mysql vs postgresql vs Microsoft sql server', 'different types of sql', 'best type of sql', 'is mysql good', 'is postgresql good', 'best sql type', 'best version of sql', 'sql types']",965
ddn-2r1j_OU,Top 3 Tips to Stop Procrastinating to be Successful,2022-05-10T10:30:05Z,33517,1674,155,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'how to stop procrastinating', 'data analyst procrastination', 'stop procrastinating', 'how to be successful', 'tips to stop procrastinating']",400
Pf-9pjJK1e0,SQL vs NoSQL | What's the Difference?,2022-05-03T10:30:03Z,64816,1914,67,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'sql vs nosql', 'nosql', 'nosql database', 'what is nosql', 'what is sql']",355
-bSkREem8dM,Database vs Data Warehouse vs Data Lake | What is the Difference?,2022-04-26T10:30:00Z,899144,23270,338,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'database vs data warehouse', 'database vs data lake', 'database vs data warehouse vs data lake', 'data base vs data lake vs data warehouse', 'database vs data lake vs data warehouse', 'data warehouse', 'data lake', 'what is a database', 'what is a data warehouse', 'what is a data lake', 'what is a data lake vs data warehouse', 'data warehouse vs data lake']",322
xKdtP3IZbnU,How I Manage My Time Working 60+ Hours Per Week | Alex The Analyst Show | Episode 22,2022-04-20T10:30:09Z,11955,325,160,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'how to manage time', 'how to manage work', 'working 60 hours', 'how to manage working 60 hours', 'how to manage working two jobs']",2610
GsAXOr715AU,200k Livestream! | Shaving | Puppies | Giveaway,2022-04-14T13:29:42Z,3184,133,11,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', '200k livestream']",4892
2JnlQ8jwWbE,Things I HATE About Being a Data Analyst,2022-04-12T10:30:00Z,36544,1515,202,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'why i hate data analytics', 'do people like being data analysts', 'data analyst cons', 'cons of being a data analyst', 'data analyst job satisfaction']",634
hNTNZ00cZig,Best Website to Practice Technical Interview Questions,2022-04-05T10:30:07Z,20158,685,56,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'technical interview questions', 'technical interview for data analysts', 'data analyst technical interview questions', 'stratascratch', 'where to study technical interview questions', 'data analyst interview questions', 'data analyst interview']",1305
gz2j5NBESSs,Pros and Cons of Working Remote | Alex The Analyst Show | Episode 21,2022-03-29T10:30:17Z,7157,276,159,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'working remote', 'pros and cons of working remote', 'pros of working remote', 'cons of working remote', 'is working remote good', 'working remotely']",2930
opJgMj1IUrc,Full Project in Excel | Excel Tutorials for Beginners,2022-03-22T10:30:15Z,980333,20485,1160,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'excel tutorial', 'excel for data analysts', 'excel for data science', 'excel project', 'excel project for data analyst']",2450
yRWkSKRYCaI,Top 5 Non-Technical Skills for Data Analysts,2022-03-15T10:30:18Z,22167,820,72,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'soft skills', 'soft skills for data analyst', 'soft skills for data science', 'soft skills for data analysts', 'non-technical skills', 'non-technical skills for data science', 'non-technical skills for data analysts']",990
_jmiEGZ6PIY,Cleaning Data in Excel | Excel Tutorials for Beginners,2022-03-01T11:30:14Z,657325,13394,338,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'data cleaning in excel', 'excel for data analysts', 'data cleaning', 'excel data cleaning', 'how to clean data in excel', 'cleaning data in excel', 'excel']",1264
4A8LV6fObYA,Tableau Data Analyst Certification Review,2022-02-22T11:30:01Z,70405,1657,128,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'tableau', 'tableau certifications', 'tableau data analyst', 'tableau data analyst certification', 'certifications for tableau', 'certification for Tableau', 'tableau in 2022', 'should I learn tableau', 'tableau in 2021']",769
MPENhkuSo0Q,Job Title Alternatives for Data Analysts,2022-02-15T11:30:07Z,26487,1019,95,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'data analyst job title', 'data analyst alternatives', 'alternatives to data analyst', 'alternative job titles for data analysts', 'job title alternatives for data analysts']",732
3irO29PJQHs,Best Coursera Courses for Data Analysts in 2022,2022-02-08T11:30:01Z,123609,5825,219,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'coursera', 'coursera for data analyst', 'data analyst courses', 'data analyst courses on coursera', 'data analyst coursera', 'data science coursera', 'data analyst courses coursera', 'coursera courses for data analysts', 'data scientist courses', 'data science courses']",572
uHJFJUIYNAo,Understanding Your Data Analyst Salary Offer | What To Know Before Accepting,2022-02-01T11:30:10Z,21152,719,61,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'data analyst salary', 'salary for data analyst', 'salary negotiations', 'tech salary', 'analyst salary']",450
gMAHXrty6wI,Charts in Excel | Excel Tutorials for Beginners,2022-01-25T11:30:18Z,171166,4151,87,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'excel tutorials', 'excel for data analysis', 'excel for data analysts', 'how to use excel', 'excel for data science', 'excel tutorials for beginners', 'excel for beginners', 'charts in excel', 'how to use charts in excel', 'excel charts']",911
BIUFr9srS78,How I became a Data Analytics Manager | Alex The Analyst Show | Episode 20,2022-01-18T11:30:02Z,23433,861,361,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'how i became a data analyst', 'how I became a data manager', 'how I became an analytics manager', 'data analyst salary', 'analytics manager salary', 'analytics manager']",2944
_eZRkmRfVTM,Conditional Formatting in Excel | Excel Tutorials for Beginners,2022-01-11T11:30:08Z,235747,4909,123,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'excel tutorials', 'excel for data analysis', 'excel for data analysts', 'how to use excel', 'excel for data science', 'excel tutorials for beginners', 'excel for beginners', 'conditional formatting', 'conditional formatting in excel', 'how to use conditional formatting']",1259
s3JmRxs53W4,150k Subscriber Livestream!!,2022-01-10T14:59:31Z,3496,159,7,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'Alex the analyst live stream', '150k live stream', 'Data Analyst live', 'Data Analyst live stream']",5138
